Designator(s),Type,MPN,Manufacturer,Description,Quantity,Unit,AWG,Color,Positions,Length (in),Terminals,Signal
FrontDtsch12-F.8_RearDtsch12-F.8; PBCtrl.5_DashDisplay.5,wire,Unassigned,,"",2,ea,,OG,,,,"FrontDtsch12-F.8_RearDtsch12-F.8; PBCtrl.5_DashDisplay.5"
FrontDtsch12-F.9_RearDtsch12-F.9,wire,Unassigned,,"",1,ea,,WHOG,,,,"FrontDtsch12-F.9_RearDtsch12-F.9"
FrontDtsch12-F.11_RearDtsch12-F.11,wire,Unassigned,,"",1,ea,,WHGN,,,,"FrontDtsch12-F.11_RearDtsch12-F.11"
Bat+.1_X53; FrontBat+.2_Precharge Relay.Coil+; FrontBat+.3_HV+ Contactor.Coil+; FrontBat+.5_HV+ Contactor.5; FrontDtsch12-F.12_RearDtsch12-F.12; FrontDtsch12-M.12_FrontBat+.4; InDtsch12-F.12_FrontBat+.1; InDtsch12-M.12_F15.OUT; J1.15_F11.OUT; K18.86_X100.1; MG1R.4_X1.14; PBCtrl.8_DashDisplay.7; PBCtrl.8_DashDisplay.7; PWR.Bat+_FrontBat+.6; RearDtsch12-M.12_HV- Contactor.WIn; RearDtsch12-M.12_HV- Contactor.WIn,wire,Unassigned,,"",16,ea,,RD,,,,"Bat+.1_X53; FrontBat+.2_Precharge Relay.Coil+; FrontBat+.3_HV+ Contactor.Coil+; FrontBat+.5_HV+ Contactor.5; FrontDtsch12-F.12_RearDtsch12-F.12; FrontDtsch12-M.12_FrontBat+.4; InDtsch12-F.12_FrontBat+.1; InDtsch12-M.12_F15.OUT; J1.15_F11.OUT; K18.86_X100.1; MG1R.4_X1.14; PBCtrl.8_DashDisplay.7; PWR.Bat+_FrontBat+.6; RearDtsch12-M.12_HV- Contactor.WIn"
HV DiscRearF.+_X107.1; NET_mnnb3cvb_4; NET_mnnbwso0_7; Pos Fuse.IN_X125.1,wire,Unassigned,,"",4,ea,3/0 AWG,OGRD,,,,"HV DiscRearF.+_X107.1; NET_mnnb3cvb_4; NET_mnnbwso0_7; Pos Fuse.IN_X125.1"
NET_mnnb3cvb_4; NET_mnnbwso0_7,wire,Unassigned,,"",2,ea,20 AWG,OG,,,,"NET_mnnb3cvb_4; NET_mnnbwso0_7"
NET_mnnb3cvb_4,wire,Unassigned,,"",1,ea,14 AWG,OGRD,,,,"NET_mnnb3cvb_4"
NET_mnnbwso0_7; Precharge Resistor.1_Precharge Relay.COM,wire,Unassigned,,"",2,ea,16 AWG,OGRD,,,,"NET_mnnbwso0_7; Precharge Resistor.1_Precharge Relay.COM"
HV DiscFrontF.+_X126.1; HV DiscRearM.-_HV DiscFrontM.-; Inverter HV.HV-_HV DiscFrontF.-,wire,Unassigned,,"",3,ea,,OGBK,,,,"HV DiscFrontF.+_X126.1; HV DiscRearM.-_HV DiscFrontM.-; Inverter HV.HV-_HV DiscFrontF.-"
HV DiscRearF.-_X106.1; HV- Contactor.COM_X87.1; HV- Contactor.NO_X88.1; Inverter HV.HV-_HV DiscFrontF.-,wire,Unassigned,,"",4,ea,3/0 AWG,OGBK,,,,"HV DiscRearF.-_X106.1; HV- Contactor.COM_X87.1; HV- Contactor.NO_X88.1; Inverter HV.HV-_HV DiscFrontF.-"
BMS-F.1_DCDC-F.4; BMS-R.1_DCDC-R.4,wire,Unassigned,,"",2,ea,,WHRD,,,,"BMS-F.1_DCDC-F.4; BMS-R.1_DCDC-R.4"
BMS-F.2_DCDC-F.3; BMS-R.2_DCDC-R.3,wire,Unassigned,,"",2,ea,,RDWH,,,,"BMS-F.2_DCDC-F.3; BMS-R.2_DCDC-R.3"
BMS-F.3_CanHI.2; CAN.1_CanHI.3; DashDisplay.13_Dimmer.Signal; FrontDtsch12-M.4_CanHI.1; InDtsch12-F.2_CanHI.4; InDtsch12-M.2_X1.28; Term.1_RearDtsch12-M.4; Term.2_RearDtsch12-M.5,wire,Unassigned,,"",8,ea,,YE,,,,"BMS-F.3_CanHI.2; CAN.1_CanHI.3; DashDisplay.13_Dimmer.Signal; FrontDtsch12-M.4_CanHI.1; InDtsch12-F.2_CanHI.4; InDtsch12-M.2_X1.28; Term.1_RearDtsch12-M.4; Term.2_RearDtsch12-M.5"
Gnd.1_DashDisplay.2; OilPump.6_X1.30,wire,Unassigned,,"",2,ea,12 AWG,BK,,,,"Gnd.1_DashDisplay.2; OilPump.6_X1.30"
PBCtrl.1_Caliper.1,wire,Unassigned,,"",1,ea,14 AWG,WH,,,,"PBCtrl.1_Caliper.1"
PBCtrl.2_Caliper.2,wire,Unassigned,,"",1,ea,14 AWG,YE,,,,"PBCtrl.2_Caliper.2"
PBCtrl.3_X98.1,wire,Unassigned,,"",1,ea,14 AWG,BK,,,,"PBCtrl.3_X98.1"
CtrlRelay.3_EB2.+12V; CtrlRelay.3_EB2.+12V; CtrlRelay.3_EB2.+12V; F14.OUT_PBCtrl.4; F21.In_IGN+.10; F23.IN_X105.1; K12.86_X117.1; K12.86_X117.1; K17.86_X110.1,wire,Unassigned,,"",9,ea,,VT,,,,"CtrlRelay.3_EB2.+12V; F14.OUT_PBCtrl.4; F21.In_IGN+.10; F23.IN_X105.1; K12.86_X117.1; K17.86_X110.1"
RearDtsch12-M.1_PWR.Gnd,wire,Unassigned,,"",1,ea,20 AWG,BK,,,,"RearDtsch12-M.1_PWR.Gnd"
CtrlRelay.4_EC1.2,wire,Unassigned,,"",1,ea,14 AWG,GNBU,,,,"CtrlRelay.4_EC1.2"
CtrlRelay.10_EC1.5,wire,Unassigned,,"",1,ea,16 AWG,GNBK,,,,"CtrlRelay.10_EC1.5"
CtrlRelay.1_EC1.3,wire,Unassigned,,"",1,ea,14 AWG,GN,,,,"CtrlRelay.1_EC1.3"
CtrlRelay.5_EC1.6,wire,Unassigned,,"",1,ea,16 AWG,GNYE,,,,"CtrlRelay.5_EC1.6"
EC1.4_CDLLED.2; Gnd.2_X114.1,wire,Unassigned,,"",2,ea,,WHBK,,,,"EC1.4_CDLLED.2; Gnd.2_X114.1"
CDLSw.1_CtrlRelay.7,wire,Unassigned,,"",1,ea,,BKRD,,,,"CDLSw.1_CtrlRelay.7"
