Designator(s),Type,MPN,Manufacturer,Description,Quantity,Unit,AWG,Color,Positions,Length (in),Terminals,Signal
FrontDtsch12-F.11_RearDtsch12-F.11,wire,Unassigned,,"",1,ea,,WHGN,,,,"FrontDtsch12-F.11_RearDtsch12-F.11"
DCDC-F.2_FrontDtsch12-M.12; DCDC-R.2_RearDtsch12-M.12; FrontDtsch12-F.12_RearDtsch12-F.12; J1.15_F11.OUT; K17.86_X99.1; K18.86_X100.1; PBCtrl.8_RedLed.1,wire,Unassigned,,"",7,ea,,RD,,,,"DCDC-F.2_FrontDtsch12-M.12; DCDC-R.2_RearDtsch12-M.12; FrontDtsch12-F.12_RearDtsch12-F.12; J1.15_F11.OUT; K17.86_X99.1; K18.86_X100.1; PBCtrl.8_RedLed.1"
NET_mnnb3cvb_4; NET_mnnbwso0_7; Pos Fuse.IN_X77.1,wire,Unassigned,,"",3,ea,3/0 AWG,OGRD,,,,"NET_mnnb3cvb_4; NET_mnnbwso0_7; Pos Fuse.IN_X77.1"
NET_mnnbwso0_7,wire,Unassigned,,"",1,ea,20 AWG,RD,,,,"NET_mnnbwso0_7"
NET_mnnb3cvb_4,wire,Unassigned,,"",1,ea,14 AWG,OGRD,,,,"NET_mnnb3cvb_4"
NET_mnnbwso0_7; Precharge Resistor.1_Precharge Relay.COM,wire,Unassigned,,"",2,ea,16 AWG,OGRD,,,,"NET_mnnbwso0_7; Precharge Resistor.1_Precharge Relay.COM"
HV Bat Front.V-_X84.1; HV- Contactor.COM_X87.1; HV- Contactor.NO_X88.1; Neg Fuse.OUT_X85.1,wire,Unassigned,,"",4,ea,3/0 AWG,OGBK,,,,"HV Bat Front.V-_X84.1; HV- Contactor.COM_X87.1; HV- Contactor.NO_X88.1; Neg Fuse.OUT_X85.1"
Neg Fuse.OUT_X85.1,wire,Unassigned,,"",1,ea,,OGBK,,,,"Neg Fuse.OUT_X85.1"
BMS-F.1_DCDC-F.4; BMS-R.1_DCDC-R.4,wire,Unassigned,,"",2,ea,,WHRD,,,,"BMS-F.1_DCDC-F.4; BMS-R.1_DCDC-R.4"
BMS-F.2_DCDC-F.3; BMS-R.2_DCDC-R.3,wire,Unassigned,,"",2,ea,,RDWH,,,,"BMS-F.2_DCDC-F.3; BMS-R.2_DCDC-R.3"
BMS-F.3_CanHI.2; BMS-R.3_Term.1; BMS-R.4_Term.2; CAN1.1_CanHI.3; FrontDtsch12-M.4_CanHI.1,wire,Unassigned,,"",5,ea,,YE,,,,"BMS-F.3_CanHI.2; BMS-R.3_Term.1; BMS-R.4_Term.2; CAN1.1_CanHI.3; FrontDtsch12-M.4_CanHI.1"
Gnd.1_X93.1; OilPump.6_X1.30,wire,Unassigned,,"",2,ea,12 AWG,BK,,,,"Gnd.1_X93.1; OilPump.6_X1.30"
F13.OUT_F21.OUT,wire,Unassigned,,"",1,ea,12 AWG,BU,,,,"F13.OUT_F21.OUT"
Precharge Relay.Coil+_X95.1,wire,Unassigned,,"",1,ea,16 AWG,VT,,,,"Precharge Relay.Coil+_X95.1"
F21.IN_X96.1,wire,Unassigned,,"",1,ea,12 AWG,RD,,,,"F21.IN_X96.1"
F22.IN_X97.1; F22.OUT_X1.56,wire,Unassigned,,"",2,ea,16 AWG,RD,,,,"F22.IN_X97.1; F22.OUT_X1.56"
PBCtrl.1_Caliper.1,wire,Unassigned,,"",1,ea,14 AWG,WH,,,,"PBCtrl.1_Caliper.1"
PBCtrl.2_Caliper.2,wire,Unassigned,,"",1,ea,14 AWG,YE,,,,"PBCtrl.2_Caliper.2"
PBCtrl.4_F23.OUT,wire,Unassigned,,"",1,ea,,VT,,,,"PBCtrl.4_F23.OUT"
10863985,contact,10863985,Aptiv,"",10,ea,,,,,,


Summary
Harness Name,EVJ-55_plan
Description,""
Total Connectors,8
Total Wires,44
